,address_id,place_type_id,room_type_id,number_of_persons_id,number_of_offers,average_rating,max_rating,min_rating
108,132,16,309,1,4,9.325,9.7,8.7
109,60,3,607,2,4,9.275,9.5,9.1
110,60,3,692,2,4,9.6,9.9,9.2
111,60,3,692,3,4,8.875,9.3,8.3
112,60,3,956,1,4,9.15,9.5,8.5
113,60,3,902,1,4,9.175,9.7,8.8
114,60,3,631,3,4,8.975,9.4,8.5
115,60,3,819,1,4,9.225,9.4,9.0
116,60,3,819,2,4,8.95,9.7,8.7
117,60,3,842,3,4,9.1,9.2,9.0
118,60,3,1636,1,4,9.0,9.1,8.7
119,60,3,1393,1,4,9.05,9.5,8.7
120,18,3,309,1,4,8.85,9.0,8.7
121,18,3,204,0,4,8.8,9.6,8.1
122,4,3,928,2,4,8.975,9.2,8.6
123,139,3,1427,1,4,8.6,8.6,8.6
124,144,6,745,4,3,8.3,8.3,8.3
125,139,6,1373,1,3,8.1,8.1,8.1
126,142,7,737,1,3,9.0333333333,9.3,8.9
127,61,7,309,1,3,8.4666666667,9.0,8.1
128,4,7,204,0,3,9.0333333333,9.2,8.9
129,139,7,607,1,3,8.6,9.0,8.4
130,66,17,1373,3,3,8.2,8.2,8.2
131,151,1,1659,1,3,9.4,9.4,9.4
132,27,18,309,1,3,8.2333333333,8.6,8.0
133,27,18,928,2,3,8.2333333333,8.6,8.0
134,27,18,737,1,3,8.2333333333,8.6,8.0
135,138,18,832,3,3,9.1,9.1,9.1
136,60,18,1188,1,3,8.9666666667,9.5,8.0
137,60,18,796,1,3,9.6666666667,9.8,9.6
138,60,18,438,1,3,9.2,9.4,9.1
139,60,18,612,2,3,9.4333333333,9.7,9.2
140,60,18,1007,2,3,9.7,9.7,9.7
141,60,18,1477,2,3,9.1333333333,9.5,8.9
142,29,18,120,1,3,8.8,9.3,8.5
143,18,18,882,3,3,8.5666666667,8.7,8.5
144,132,18,25,1,3,9.5,9.5,9.5
145,158,16,607,1,3,8.3333333333,8.8,8.0
146,60,16,692,1,3,8.9666666667,9.5,8.4
147,60,16,951,0,3,8.2,8.2,8.2
148,60,16,951,1,3,8.5333333333,9.2,8.2
149,60,16,902,1,3,8.3333333333,8.9,8.0
150,60,16,720,2,3,8.8,9.3,8.4
151,60,16,799,1,3,8.4666666667,9.0,8.0
152,18,16,928,2,3,8.3,8.5,8.0
153,122,16,1295,1,3,8.7,9.0,8.2
154,144,16,309,1,3,8.3333333333,8.7,8.1
155,144,16,204,0,3,8.2,8.3,8.1
156,134,16,181,1,3,8.4,8.4,8.4
157,57,0,967,3,3,9.1,9.1,9.1
158,2,12,1150,1,3,9.6666666667,9.7,9.6
159,2,12,1150,2,3,9.6333333333,9.7,9.6
160,69,12,1150,3,3,9.5,9.7,9.3
161,4,12,1150,0,3,9.5,10.0,9.2
162,104,3,607,1,3,9.0,9.4,8.5
163,104,3,120,1,3,9.3,9.4,9.1
164,3,3,394,3,3,8.9,8.9,8.9
165,142,3,692,2,3,9.3333333333,9.5,9.0
166,142,3,430,3,3,9.4,9.4,9.4
167,12,3,309,1,3,9.0,9.0,9.0
168,21,3,607,1,3,9.3333333333,9.4,9.2
169,60,3,25,1,3,8.8,9.2,8.3
170,60,3,404,2,3,9.7,9.7,9.7
171,60,3,1188,1,3,9.1333333333,9.2,9.1
172,60,3,1425,3,3,9.2,9.5,9.0
173,60,3,889,1,3,9.4666666667,9.7,9.0
